"","leader","screenName"
"596","TwitterSports","AntonioGates85"
"597","TwitterSports","TorreySmithWR"
"598","TwitterSports","LarryFitzgerald"
"599","TwitterSports","elguapo"
"600","TwitterSports","Edelman11"
"601","TwitterSports","ESanders_10"
"602","TwitterSports","Nukdabomb"
"603","TwitterSports","JJWatt"
"604","TwitterSports","jmac___19"
"605","TwitterSports","CutonDime25"
"606","TwitterSports","TyrodTaylor"
"607","TwitterSports","BMarshall"
"608","TwitterSports","MattForte22"
"609","TwitterSports","GenoSmith7"
"610","TwitterSports","jadande"
"611","TwitterSports","JonDorenbos"
"612","TwitterSports","Noahsyndergaard"
"613","TwitterSports","BraxtonMiller5"
"614","TwitterSports","jbbigbear"
"615","TwitterSports","Russellmania621"
"616","TwitterSports","wolf987FM"
"617","TwitterSports","kentsomers"
"618","TwitterSports","Cardschatter"
"619","TwitterSports","ryanohalloran"
"620","TwitterSports","APMarkLong"
"621","TwitterSports","HaysCarlyon"
"622","TwitterSports","thejackwang"
"623","TwitterSports","MylesASimmons"
"624","TwitterSports","MikeDiGiovanna"
"625","TwitterSports","JasonWolf"
"626","TwitterSports","terrymc13"
"627","TwitterSports","gregauman"
"628","TwitterSports","IKaufman76"
"629","TwitterSports","NFLSTROUD"
"630","TwitterSports","JayMorrisonCMG"
"631","TwitterSports","JimOwczarski"
"632","TwitterSports","pauldehnerjr"
"633","TwitterSports","MatthewFairburn"
"634","TwitterSports","viccarucci"
"635","TwitterSports","HolderStephen"
"636","TwitterSports","1070Bruno"
"637","TwitterSports","SDUTKrasovic"
"638","TwitterSports","GehlkenNFL"
"639","TwitterSports","sdutKevinAcee"
"640","TwitterSports","ChiefsReporter"
"641","TwitterSports","TerezPaylor"
"642","TwitterSports","AdamHBeasley"
"643","TwitterSports","AbramsonFL"
"644","TwitterSports","OmarKelly"
"645","TwitterSports","lizclarketweet"
"646","TwitterSports","TarikCSN"
"647","TwitterSports","MaryKayCabot"
"648","TwitterSports","terrypluto"
"649","TwitterSports","ScottPetrak"
"650","TwitterSports","christomasson"
"651","TwitterSports","mattvensel"
"652","TwitterSports","markcraignfl"
"653","TwitterSports","josephperson"
"654","TwitterSports","SteveReedAP"
"655","TwitterSports","LukeDeCock"
"656","TwitterSports","vxmcclure23"
"657","TwitterSports","DOrlandoAJC"
"658","TwitterSports","VicTafur"
"659","TwitterSports","CorkOnTheNFL"
"660","TwitterSports","Jerrymcd"
"661","TwitterSports","davebirkett"
"662","TwitterSports","BrendanSavage"
"663","TwitterSports","paulapasche"
"664","TwitterSports","AaronWilson_NFL"
"665","TwitterSports","jharrisfootball"
"666","TwitterSports","McClain_on_NFL"
"667","TwitterSports","bsmolka"
"668","TwitterSports","MikePrestonSun"
"669","TwitterSports","jeffzrebiecsun"
"670","TwitterSports","JoelAErickson"
"671","TwitterSports","Kat_Terrell"
"672","TwitterSports","LarryHolder"
"673","TwitterSports","CameronWolfe"
"674","TwitterSports","MikeKlis"
"675","TwitterSports","TroyRenck"
"676","TwitterSports","Tim_McManus"
"677","TwitterSports","EliotShorrParks"
"678","TwitterSports","RoobCSN"
"679","TwitterSports","JimmyKempski"
"680","TwitterSports","BradBiggs"
"681","TwitterSports","adamjahns"
"682","TwitterSports","CSNMoonMullin"
"683","TwitterSports","KMart_LI"
"684","TwitterSports","MMehtaNYDN"
"685","TwitterSports","BrianCoz"
"686","TwitterSports","NYPost_Schwartz"
"687","TwitterSports","RVacchianoSNY"
"688","TwitterSports","art_stapleton"
"689","TwitterSports","bcondotta"
"690","TwitterSports","JaysonJenks"
"691","TwitterSports","gbellseattle"
"692","TwitterSports","klynch49"
"693","TwitterSports","timkawakami"
"694","TwitterSports","Eric_Branch"
"695","TwitterSports","MarkKaboly"
"696","TwitterSports","C_AdamskiTrib"
"697","TwitterSports","dlolleyor"
"698","TwitterSports","DMN_George"
"699","TwitterSports","DavidMooreDMN"
"700","TwitterSports","jeffphowe"
"701","TwitterSports","kguregian"
"702","TwitterSports","BenVolin"
"703","TwitterSports","AdrianPeterson"
"704","TwitterSports","UEFA"
"705","TwitterSports","88EricLindros"
"706","TwitterSports","raylewis"
"707","TwitterSports","DemaryiusT"
"708","TwitterSports","_fournette"
"709","TwitterSports","BenSimmons25"
"710","TwitterSports","ShowtimeTate"
"711","TwitterSports","ReggieBush"
"712","TwitterSports","hbarnes"
"713","TwitterSports","Money23Green"
"714","TwitterSports","ReggieMillerTNT"
"715","TwitterSports","AndreDrummond"
"716","TwitterSports","JdeGrom19"
"717","TwitterSports","TheWorldof_AJ"
"718","TwitterSports","ArianFoster"
"719","TwitterSports","jemelehill"
"720","TwitterSports","Simone_Biles"
"721","TwitterSports","ayeshacurry"
"722","TwitterSports","CONCACAF"
"723","TwitterSports","CA2016"
"724","TwitterSports","alleniverson"
"725","TwitterSports","gordonhayward"
"726","TwitterSports","ChandlerParsons"
"727","TwitterSports","MarcGasol"
"728","TwitterSports","kevinlove"
"729","TwitterSports","drose"
"730","TwitterSports","chrisbosh"
"731","TwitterSports","DwightHoward"
"732","TwitterSports","drewbrees"
"733","TwitterSports","marcelluswiley"
"734","TwitterSports","ChrisJohnson28"
"735","TwitterSports","millertime_6"
"736","TwitterSports","kaj33"
"737","TwitterSports","MarcJSpearsESPN"
"738","TwitterSports","JalenRose"
"739","TwitterSports","DeAndre"
"740","TwitterSports","JCrossover"
"741","TwitterSports","WayneRooney"
"742","TwitterSports","DeMarcoMurray"
"743","TwitterSports","DeMarcusWare"
"744","TwitterSports","MagicJohnson"
"745","TwitterSports","Mathieu_Era"
"746","TwitterSports","kelvinbenjamin"
"747","TwitterSports","mookiebetts"
"748","TwitterSports","ringer"
"749","TwitterSports","MatthewBerryTMR"
"750","TwitterSports","jimrome"
"751","TwitterSports","ClayTravis"
"752","TwitterSports","clint_dempsey"
"753","TwitterSports","CarliLloyd"
"754","TwitterSports","lindseyvonn"
"755","TwitterSports","RyanLochte"
"756","TwitterSports","MichaelPhelps"
"757","TwitterSports","missyfranklin"
"758","TwitterSports","TimHowardGK"
"759","TwitterSports","alexmorgan13"
"760","TwitterSports","ErinAndrews"
"761","TwitterSports","DickieV"
"762","TwitterSports","JayGlazer"
"763","TwitterSports","finebaum"
"764","TwitterSports","ColinCowherd"
"765","TwitterSports","RealMikeWilbon"
"766","TwitterSports","stephenasmith"
"767","TwitterSports","RealSkipBayless"
"768","TwitterSports","JayBilas"
"769","TwitterSports","AdamSchefter"
"770","TwitterSports","WojVerticalNBA"
"771","TwitterSports","SI_PeterKing"
"772","TwitterSports","BillSimmons"
"773","TwitterSports","Rachel__Nichols"
"774","TwitterSports","SHAQ"
"775","TwitterSports","VinceMcMahon"
"776","TwitterSports","shanemcmahon"
"777","TwitterSports","JohnCena"
"778","TwitterSports","WWERomanReigns"
"779","TwitterSports","TripleH"
"780","TwitterSports","JonnyBones"
"781","TwitterSports","MieshaTate"
"782","TwitterSports","RondaRousey"
"783","TwitterSports","MariaSharapova"
"784","TwitterSports","CaroWozniacki"
"785","TwitterSports","vika7"
"786","TwitterSports","keinishikori"
"787","TwitterSports","stanwawrinka"
"788","TwitterSports","andy_murray"
"789","TwitterSports","serenawilliams"
"790","TwitterSports","RafaelNadal"
"791","TwitterSports","DjokerNole"
"792","TwitterSports","rogerfederer"
"793","TwitterSports","TigerWoods"
"794","TwitterSports","Danny_Willett"
"795","TwitterSports","DJohnsonPGA"
"796","TwitterSports","henrikstenson"
"797","TwitterSports","RickieFowler"
